date,rv_cc_7d,rv_cc_14d,rv_cc_21d,rv_cc_30d,rv_cc_60d,rv_cc_90d,rv_park_7d,rv_park_14d,rv_park_21d,rv_park_30d,rv_park_60d,rv_park_90d,rv_gk_7d,rv_gk_14d,rv_gk_21d,rv_gk_30d,rv_gk_60d,rv_gk_90d,rv_yz_7d,rv_yz_14d,rv_yz_21d,rv_yz_30d,rv_yz_60d,rv_yz_90d
2019-11-28,0.6425221912070153,0.5277561591897474,0.506140181090264,0.4448597743466337,0.5986897987837794,0.5821211003500477,0.8167033372784646,0.6549882554766412,0.5731447534085474,0.5062432994908709,0.5531975105528181,0.5358895403163519,0.8862907316638208,0.6916655677484603,0.5887502835953621,0.5227970699123042,0.5367751550076997,0.5174623366905939,0.8999558967483168,0.6905083485693487,0.5865125311905779,0.5194211706984526,0.549922997674209,0.5271021814116215
2019-11-29,0.5892936112749584,0.5791157621475325,0.5130614100789525,0.46984535403838434,0.604033363303419,0.5881097403969622,0.7047267347136427,0.6617813794124288,0.5661612505721175,0.5080031532518792,0.549574769352213,0.5380026698464775,0.750111674985139,0.6942268624043336,0.5856592362979911,0.5208670512936318,0.5294616228014369,0.5182539226012302,0.7530434816339787,0.6965316190435616,0.5861869120973722,0.5189046148291648,0.5416741763831567,0.5281382755936441
2019-11-30,0.6342540934228023,0.5814068845921718,0.5180094595220981,0.47421666717394134,0.6066151562815629,0.5889927567406447,0.7067528056300437,0.6727023216427738,0.5750421000251444,0.5091181530383576,0.5510447109222959,0.5397050217345397,0.7466802753362476,0.7043930894235241,0.593910540178113,0.5194730687304339,0.5302125728525124,0.5199935953794921,0.7503258391665488,0.7044910085471637,0.5927354234853385,0.5175750223910727,0.5421619989998238,0.5295840766503789
2019-12-01,0.5132264614112243,0.5798719566181307,0.4976379349974513,0.4738197865444763,0.6078764314666272,0.5764497973459974,0.6887060572767456,0.6777806581868774,0.5767707681539052,0.5141751436861234,0.5530851926375587,0.5356797120946988,0.7498978128787634,0.7084492223625956,0.5982199000597139,0.5248429012442934,0.5323733129726916,0.5188204532219869,0.7531177632905616,0.7086803173000075,0.5964607288123185,0.5232620523786518,0.5443037991789121,0.5282841100750947
2019-12-02,0.5308937097141929,0.5683078525890388,0.4870094133784746,0.47150284297305906,0.6076001381824474,0.5735274225937391,0.5504832787958756,0.671258953987705,0.5726482823379155,0.51795596114149,0.5531481975485059,0.5348959203457568,0.5705695114272786,0.7054628335155777,0.5979844353280437,0.529338215332516,0.5325858608090339,0.51847021507991,0.5749720174486957,0.7063412685222555,0.5964354293175445,0.5267187862014794,0.5442490682466339,0.5276892697742931
2019-12-03,0.5283280976633908,0.5696527983923984,0.4839614745864607,0.4722438899032787,0.6075067796936527,0.5735741209896867,0.5457496364945841,0.6661392871327696,0.5742935543966591,0.5179807590667164,0.5541263859269507,0.5345020197654097,0.5660773676759084,0.6997364138138057,0.6003926327631076,0.5297827617145974,0.534086159754154,0.5179159134449035,0.5700826674249679,0.7018074136057962,0.5981235078963987,0.5271997878783975,0.5454106330742062,0.5272252233452912
2019-12-04,0.4048451269540131,0.5646354484385424,0.4826889055794141,0.4622739483353672,0.6076733155800728,0.5736508352319261,0.4447331016478839,0.6782879314746674,0.5874755075401459,0.5238381530897266,0.5584678198445127,0.5377841093849421,0.46448411151332786,0.7184354825004643,0.6173462613208958,0.5388996095350403,0.5402404323142709,0.522475980081883,0.47237029634268757,0.7207035716534137,0.6145284247523181,0.5356751666297618,0.5511715721313935,0.5315826902682864
2019-12-05,0.4632506101014028,0.539016672971304,0.5052128876358428,0.4784958956369768,0.6099577888030061,0.5759286834631596,0.510393950402758,0.6809942458382133,0.6106065875374531,0.5411318958306749,0.5663182999821723,0.5396551477572883,0.5389304146897486,0.733470262829671,0.6447864005739324,0.5593746501436443,0.5508083539314823,0.5247818012455924,0.5548992795911534,0.743752572077053,0.6474964849852226,0.5606179869232597,0.5632481102307104,0.5349499163020195
2019-12-06,0.3535890860571191,0.483867984230885,0.5059679178772525,0.48287410500001565,0.6054679865364574,0.5755998867456115,0.48510441411209676,0.6049653143822352,0.608614678556987,0.5422362944091962,0.5623554592004032,0.539691745766139,0.5313745281009818,0.6500101591758201,0.6445310341848226,0.5601811220746742,0.5469437645898954,0.5249527110173504,0.5457477886731412,0.6558745370648527,0.6482805413913111,0.5618920389757442,0.5598816361405067,0.53514930735767
2019-12-07,0.30640327931223527,0.47981690394672705,0.5039559864752359,0.4836338530881002,0.605502646705348,0.5756377429784709,0.4515965190756412,0.5930594170516028,0.6080011631371525,0.5412324752527303,0.5618785992566154,0.5393619756699171,0.5017709713039746,0.6361232353952914,0.6439755058743996,0.559176841700266,0.5462712437130235,0.5245608268070742,0.5199986618356639,0.6422539742702705,0.6476131666323125,0.5610870076792317,0.559270071227947,0.5348191612889294
