date,close,rv_cc_30d,iv_synthetic_30d,iv_premium_factor,vrp_30d,vrp_60d,vrp_90d,vrp_forward,forward_rv_30d,vrp_30d_roll_mean,vrp_30d_roll_std,vrp_zscore,vrp_percentile,regime_threshold,regime_change,days_since_regime_change
2020-06-10,9870.0947265625,0.587789498665146,0.47129527279317834,-0.19819038301385591,-0.11649422587196762,-0.13620111065164042,-0.17561238461880613,0.13388425719650027,0.3374110155966781,-0.06805100961163514,0.08199936876395232,0.03761794183407289,0.3214285714285714,MEDIUM,0,1
2020-06-11,9321.78125,0.6215745515303861,0.4680400340419867,-0.24700901462323427,-0.1535345174883994,-0.17435156666880136,-0.21385772604775266,0.19506417386053299,0.2729758601814537,-0.07145287321907637,0.08339325269127129,-0.2407385406747016,0.2222222222222222,MEDIUM,0,2
2020-06-12,9480.84375,0.5980832278810195,0.4650982614438726,-0.22235194072956424,-0.1329849664371469,-0.15650846827764686,-0.18908782250090594,0.19875679707090332,0.2663414643729693,-0.07424750780926184,0.08402234975395985,-0.08621889860895646,0.26587301587301587,MEDIUM,0,3
2020-06-13,9475.27734375,0.5723857310498387,0.4497549504071357,-0.21424499946527378,-0.122630780642703,-0.1508047044248837,-0.18166977515620664,0.18323235019220252,0.2665226002149332,-0.07685453810073324,0.0842779182239989,-0.008351817405073568,0.31746031746031744,MEDIUM,0,4
2020-06-14,9386.7880859375,0.5533792830432729,0.44054202326680075,-0.2039058259570743,-0.11283725977647213,-0.14251354032561148,-0.16926894530055037,0.17580886770046295,0.2647331555663378,-0.07931621816913755,0.08421222298133615,0.06529893340618347,0.3412698412698413,MEDIUM,0,5
2020-06-15,9450.7021484375,0.5535847222500777,0.4522438467433104,-0.18306299186664932,-0.10134087550676729,-0.12426122330102063,-0.15131508250379255,0.18831473584761044,0.2639291108957,-0.08156210918297237,0.08385870931047223,0.1517577520787191,0.36904761904761907,MEDIUM,0,6
2020-06-16,9538.0244140625,0.5435925483192335,0.4507702484989622,-0.1707571233404031,-0.09282229982027135,-0.11587324760915962,-0.1411378505458687,0.1887154975926908,0.2620547509062714,-0.08367892013013747,0.08329406279143602,0.21581028388836304,0.40079365079365076,MEDIUM,0,7
2020-06-17,9480.2548828125,0.5434558857307438,0.45072887570765463,-0.17062472310591723,-0.09272701002308914,-0.11561066192892022,-0.12706404758259315,0.18893970795615045,0.2617891677515042,-0.08550482771947901,0.08285629889380436,0.2164728500027323,0.40476190476190477,MEDIUM,0,8
2020-06-18,9411.8408203125,0.5438922765429189,0.4577184400570164,-0.15843916194883217,-0.08617383648590254,-0.10730899273102379,-0.11805825310014428,0.196770067026233,0.2609483730307834,-0.08782020376898564,0.08183184261862024,0.2657432487652836,0.43253968253968256,MEDIUM,0,9
2020-06-19,9288.0185546875,0.5407934535684887,0.3785554174979421,-0.3,-0.16223803607054665,-0.20010578489250092,-0.22381094291108716,0.12115779963537437,0.2573976178625677,-0.09318360347390933,0.08123881055380089,-0.306994053316807,0.21031746031746032,MEDIUM,0,10
2020-06-20,9332.3408203125,0.5141674736745847,0.3693970574525498,-0.28156276628587307,-0.1447704162220349,-0.1877678250175614,-0.20619101900571774,0.11258840862605102,0.2568086488264988,-0.09800439253053793,0.0798059559997378,-0.17537792985866857,0.24603174603174602,MEDIUM,0,11
2020-06-21,9303.6298828125,0.513022977007713,0.3738147271877256,-0.27134895717915275,-0.13920824981998742,-0.17986555541160348,-0.19098551060876806,0.1046565324081366,0.269158194779589,-0.1026935200259946,0.07786915942213311,-0.13343912264164925,0.2619047619047619,MEDIUM,0,12
2020-06-22,9648.7177734375,0.5281493374406505,0.3893069850774851,-0.26288464742941664,-0.1388423523631654,-0.1736283237433382,-0.184170876491144,0.14661891279361053,0.2426880722838746,-0.10714275830296265,0.07590480404501267,-0.13064975003856313,0.2698412698412698,MEDIUM,0,13
2020-06-23,9629.658203125,0.4991329698491401,0.37208676441063776,-0.2545337878138992,-0.1270462054385023,-0.16797454032355869,-0.17822226923765982,0.12849895480301246,0.2435878096076253,-0.11093809250585956,0.07386399679759148,-0.04172387301022272,0.3055555555555555,MEDIUM,0,14
2020-06-24,9313.6103515625,0.5134376870613225,0.38363835118277473,-0.25280445738500146,-0.1297993358785478,-0.16862226797421437,-0.17824615227271068,0.17065265531233942,0.2129856958704353,-0.11500580224033234,0.07130220056350595,-0.06246604828461871,0.2976190476190476,MEDIUM,0,15
2020-06-25,9264.8134765625,0.5128635229232928,0.3913149265211006,-0.2369998858748467,-0.12154859640219223,-0.1580189413577468,-0.16574841109573474,0.17420409724607103,0.2171108292750296,-0.11908145518393823,0.06787104893315456,-0.00024451061845007075,0.3492063492063492,MEDIUM,0,16
2020-06-26,9162.91796875,0.4969340135843667,0.3788054117476019,-0.23771486476586196,-0.11812860183676477,-0.1585564412410791,-0.16509356016739707,0.15369105950439252,0.2251143522432094,-0.12328101911488361,0.06350292187060652,0.02554683156828721,0.36111111111111105,MEDIUM,0,17
